ISBN,Title,Genre,Year,Stock,Price,Author
016722523-5,Beethoven's Treasure Tail,Action|Adventure|Children,2004,29,6.19,Ethelin Grundwater
983944299-6,Macao,Adventure,1998,84,20.48,Tome Yakov
498004170-1,Full Body Massage,Drama,2003,97,16.99,Gayel Beldan
405808422-7,"Look of Silence, The",Documentary,2000,35,9.5,Etan Carnock
376619638-3,Woman in the Meadow (Nainen kedolla),Drama|Romance|Thriller,2004,20,4.98,Symon Lawrance
503132410-4,"Late Great Planet Earth, The",Documentary|Drama,2006,29,4.73,Boycie Jolliff
071773440-4,Kissing a Fool,Comedy|Romance,1992,45,12.91,Lauren Wohler
008559074-6,Steam,Comedy|Drama|Romance,1985,48,18.03,Delia Floyed
152365329-9,Bad Ronald,Drama|Horror|Thriller,2011,25,14.31,Louella Mattussevich
464771213-3,Little Sister,Comedy,1993,84,18.83,Batsheva Slixby
417800926-5,Star Trek: Of Gods and Men,Action|Adventure|Sci-Fi,2010,1,4.73,Meridel Bovis
369944407-4,Chronicle of an Escape (Crónica de una fuga),Thriller,1995,94,23.39,Zackariah Badam
963511291-2,Siblings,Comedy,1968,58,10.51,Amalita Kirtley
683251995-8,4,Drama,1997,34,23.07,Cherri Shoutt
426405809-0,Frownland,Comedy|Drama,2007,86,27.15,Aveline Curry
293906632-9,Mysterious Object at Noon (Dokfa nai meuman),Drama|Mystery,2004,39,24.99,Port Varah
373102165-X,Love and a .45,Action|Comedy|Crime,2012,46,8.58,Glennis Pitney
249259100-X,"Notebook, The (A nagy füzet)",Drama|War,2001,84,5.05,Celinda Gaunson
293882173-5,"Crystal Ball, The",Comedy,2005,19,13.14,Guss Gook
250030509-0,"Painted Veil, The",Drama|Romance,2005,14,7.35,Ingaberg Beldan
221867153-0,"Tale of Winter, A (a.k.a. A Winter's Tale) (Conte d'hiver)",Drama,2011,37,11.37,Buck Rosgen
280219931-5,XX/XY,Drama|Romance,2013,70,13.65,Agretha Whipple
161103685-2,Payback,Action|Thriller,1994,8,10.17,Gwyn Wyd
922166484-8,New York in the 50's,Documentary,1993,78,23.89,Giacobo Vane
820477898-8,Chill Out! (Descongélate!),Comedy|Drama,1990,30,29.88,Corliss Crocket
971447555-4,Repentance (Monanieba),Drama,1994,4,6.79,Anderson Trett
705050011-9,"Family Thing, A",Comedy|Drama,1985,56,17.74,Huntlee Stapele
054085575-8,Forbidden Games (Jeux interdits),Drama|War,1987,4,18.76,Isiahi Sign
945078852-9,The Opposite Sex,Comedy|Drama|Romance,2005,36,5.59,Waring Skelhorne
373013361-6,Sandor slash Ida,Drama|Romance,2001,10,15.42,Artemus Gerretsen
697594187-4,Wuthering Heights,Drama,2011,94,15.51,Allayne Dowsett
472197765-4,Day of Wrath (Vredens dag),Drama,1998,39,17.83,Meg Dicks
733713942-X,Make Your Move,Musical,1988,50,8.34,Addison Bucksey
673272246-8,"Lost Honor of Katharina Blum, The (Verlorene Ehre der Katharina Blum oder: Wie Gewalt entstehen und wohin sie führen kann, Die)",Drama,2008,46,29.35,Kathy Hearnden
067598866-7,Hoodwinked!,Animation|Children|Comedy,2008,1,26.47,Werner Glisenan
066374630-2,"Day the Universe Changed, The",Documentary,2001,20,26.32,Sabine Cavilla
480754836-0,Northern Soul,Drama,1998,20,19.43,Roddy Dorre
651676052-7,Shadow Conspiracy,Thriller,2005,93,8.65,Tildi Chandlar
644082260-8,Butterfly Girl,Documentary,1999,37,23.61,Pauli Gaitskell
197409254-2,Zatoichi's Vengeance (Zatôichi no uta ga kikoeru) (Zatôichi 13),Action|Drama,2011,35,29.19,Domingo McCrillis
087060434-1,Tales from the Crypt Presents: Bordello of Blood,Comedy|Horror,1984,3,14.65,Valry Cashford
519563562-5,Henry: Portrait of a Serial Killer,Crime|Horror|Thriller,1988,41,5.21,Vaughan Feldbau
860981888-8,Piggy,Thriller,1988,78,27.57,Karlene Bredes
185919779-5,Eye for an Eye,(no genres listed),2003,45,25.02,Parnell Ferentz
126573359-7,"Blue Bird, The",Children|Fantasy,1994,9,10.1,Geoff Featherstonhalgh
760580485-7,Caltiki the Undying Monster,Adventure|Horror|Sci-Fi|Thriller,1992,3,21.94,Sebastiano Gawthrop
077512022-7,Origin: Spirits of the Past (Gin-iro no kami no Agito),Animation|Drama|Romance|Sci-Fi,2010,96,7.83,Desmund Mattke
627091933-9,Calling Dr. Death,Mystery,1985,74,12.47,Norrie Malby
951624212-X,Sweet Nothing,Drama,1994,90,21.91,Chelsie Melburg
513033240-7,Africa: Texas Style,Adventure|Western,2004,45,27.28,Gwendolin Bohling
863197735-7,"Dispatch from Reuter's, A",Drama,2011,25,17.98,Carley Luna
808447623-8,Hansel & Gretel: Witch Hunters,Action|Fantasy|Horror|IMAX,2011,83,11.77,Sibel Divell
022378144-4,Black Eagle,Action|Drama,2010,25,1.43,Janis McAndrew
030949934-8,Fabled,Drama|Mystery|Thriller,1997,76,7.6,Kane Posselow
559333389-0,Monster,Crime|Drama,1996,59,5.67,Patrizia Mallam
802540641-5,"Sword in the Stone, The",Animation|Children|Fantasy|Musical,2004,3,24.29,Giorgia Strewthers
512935004-9,The Guardians,Action|Thriller,2001,40,13.57,Juieta Peggram
682768544-6,Every Girl Should Be Married,Comedy|Romance,2003,19,24.98,Anetta Kristoffersson
489781552-5,"Four Feathers, The",Adventure|War,2003,84,26.41,Oran Mouse
193879922-4,Jerichow,Drama,1989,77,19.86,Buck Roth
073591524-5,"Dog, The",Documentary,1988,38,1.92,Joni Spurden
979239166-5,Werner - Gekotzt wird später,Animation|Comedy,1995,49,8.19,Arte Woosnam
547714562-5,Perfectly Normal,Comedy,2007,26,15.07,Lyndell Rhelton
174287510-6,He Loves Me... He Loves Me Not (À la folie... pas du tout),Romance|Thriller,1993,10,2.79,Garwood Fattore
650198122-0,Redemption: For Robbing the Dead,Western,1968,8,12.73,Kenyon O'Garmen
715252192-1,Sunnyside,Comedy,1999,83,8.34,Alfonso Melpuss
412556801-4,Sword of the Stranger (Sutorejia: Mukô hadan),Action|Adventure|Animation,1999,28,5.81,Kipper Loynes
198713238-6,Port of Call (Hamnstad),Drama,1991,39,25.02,Dredi Gimblett
005585512-1,Madhouse,Horror|Thriller,1992,4,29.95,Samuele Goforth
480320156-0,Hillbillys in a Haunted House,Comedy,1991,100,12.35,Wyatt Sheber
773264534-0,"Last Boy Scout, The",Action|Comedy|Crime|Drama|Thriller,2011,54,10.84,Sollie Dennes
301168558-4,Dead Rising: Watchtower,Action|Horror|Thriller,1996,12,20.54,Freda Jedrzej
543347483-6,Chaos,Crime|Drama|Horror,2001,16,20.46,Chloris Chessun
095476441-2,Hotel Pacific (Zaklete rewiry),Drama,2009,47,1.3,Jarrod Charters
151658241-1,Border Incident,Crime|Drama|Film-Noir,2003,90,16.39,Almeria Boldry
696831824-5,Lisztomania,Comedy|Fantasy|Musical,2004,50,10.47,Lynnell Lodeke
219358574-1,"Eagle Has Two Heads, The (L'aigle à deux têtes)",Drama,1994,51,2.46,Gretna Sharman
627151922-9,Bloodbath at the House of Death,Comedy|Horror,2007,44,3.29,Mirabella Trevithick
632407326-2,Voices from the List,Documentary,1998,74,20.82,Skelly Seleway
992009403-X,The Testimony,(no genres listed),1994,100,2.47,Crin Caris
331877414-6,Steel,Action|Adventure|Crime|Drama,2006,6,17.42,Liliane Gutcher
884082697-1,Prometheus,Action|Horror|Sci-Fi|IMAX,2008,59,9.64,Myrna Cardoo
783243664-6,"House That Dripped Blood, The",Horror|Mystery,2011,13,26.87,Alfonso MacLaughlin
891564363-1,Godzilla,Action|Sci-Fi|Thriller,1992,63,11.89,Ashlee Girard
504827315-X,Virtuality,Drama|Sci-Fi|Thriller,1961,77,9.41,Pace Van Velden
683506190-1,Carefree,Comedy|Musical|Romance,2011,52,20.99,Carmelia Dickie
512228399-0,Fred: The Movie,Comedy,2010,67,9.63,Elly Yeowell
247056179-5,"Manchurian Candidate, The",Thriller,2007,92,12.01,Gabriella Cluet
707125856-2,Born American,Action|Drama|Thriller,2004,85,6.31,Alexio Pendered
996685706-0,"Back to the Garden, Flower Power Comes Full Circle",Documentary,1997,66,4.53,Aubert Brouncker
338437063-5,Castle Freak,Horror,2004,1,16.1,Mirabella Mechi
491512596-3,Midnight Crossing,Mystery|Thriller,2009,82,20.45,Davida Cooley
538376224-8,"Dark Half, The",Horror|Mystery,1985,94,8.51,Barth Handslip
628759050-5,Sleepy Hollow,Fantasy|Horror|Mystery|Romance,1998,18,26.13,Alyssa Buffham
399429354-5,Tom & Thomas,Adventure|Children,2012,19,1.78,Christye Haw
808713765-5,Highwaymen,Action|Crime|Thriller,1995,34,5.53,Chaim Templeton
726657631-8,Mr. Average,Comedy|Romance,2007,49,20.37,Conny Scamp
772547686-5,Heartbreak Hotel,Comedy,1989,96,10.66,Dickie Rosenblatt
108567256-5,1991: The Year Punk Broke,Documentary,1988,93,8.16,Farrah Kiloh
834534936-6,Deep Water,Documentary,2011,76,20.61,Debra FitzAlan
005979676-6,10 000 timmar,Comedy,1992,7,2.63,Tallia Cooney
313253644-X,Breath (Soom),Drama,1992,53,3.75,Gunner Brundill
308877200-7,Am Ende eiens viel zu kurzen Tages (Death of a superhero),Animation|Drama,2000,21,29.91,Haywood Hadwen
914782037-3,Confessor Caressor,(no genres listed),1987,6,23.43,Burty Turford
026900126-3,"Scientist, The",Drama,2001,63,25.0,Zondra McCroary
709315430-1,Condition Red (Beyond the Law),Action|Drama|Thriller,2012,70,10.56,Myrle Dyos
217751187-9,Thunderball,Action|Adventure|Thriller,2005,62,16.06,Arlina Pikesley
330035815-9,Heart and Souls,Comedy|Fantasy,2012,57,14.34,Coop Longrigg
655789653-9,Virtuosity,Action|Sci-Fi|Thriller,2009,82,24.78,Chrissie Vuitte
575806726-1,We Are from the Future (My iz budushchego),Action|Drama|Fantasy,2011,67,8.38,Yoshiko Fantonetti
954468520-0,Fallout,Action|Sci-Fi,1993,81,5.21,Elene Fendt
540113216-6,Chain Lightning,Action|Drama,2010,6,14.97,Ange Stidston
702704166-9,Kidnapping Mr. Heineken,Action|Crime|Drama|Thriller,1997,50,5.17,Berke Luto
552651455-2,Dear White People,Comedy|Drama,2000,80,1.27,Vasily Taill
287034869-X,Matthew's Days,Drama,1991,53,24.24,Biron Jellico
648534828-X,Merry Madagascar,Animation,2003,51,22.13,Marcel Meeny
281855869-7,Mister Buddwing,Drama,1998,54,13.61,Moina Stanton
869447697-5,That Evening Sun,Drama,1963,35,6.41,Christoph Molden
308871595-X,Midnight Cowboy,Drama,1965,93,5.45,Edvard Stoltz
205386557-1,Voices of Iraq,Documentary,2008,87,3.64,Silvain Vasse
722049853-5,Breathing Room,Horror|Mystery|Thriller,2005,36,22.07,Leah Crawcour
458058227-6,"What's in a Name (Prénom, Le)",Comedy,1997,24,3.15,Tarrah Westcarr
866610361-2,Born to Defense (Zhong hua ying xiong),Action|War,1988,77,9.91,Baudoin Sollime
416772160-0,"Snake Pit, The",Drama,2009,74,5.48,Shelby Leethem
327867053-1,Milk,Drama,2006,24,12.65,Melody Scud
396094836-0,Sune på bilsemester,Children|Comedy,2005,87,10.11,Karyl Impson
413034303-3,Wonderland,Drama,1996,80,2.93,Misha Slyme
978828783-2,Fool for Love,Drama,1999,99,16.79,Elwood Cowlam
742089570-8,Record of a Tenement Gentleman (Nagaya shinshiroku),Drama,1992,92,20.22,Freeman Hammell
696405532-0,Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime),Action|Adventure|Animation|Children,2002,92,7.23,Trevar Audsley
173707602-0,"Time Traveler's Wife, The",Drama|Romance|Sci-Fi,2010,57,27.27,Rafaellle Veryan
131340061-0,"Greystoke: The Legend of Tarzan, Lord of the Apes",Adventure|Drama|Romance,2006,15,3.46,Flor Hawthorn
116783876-9,"Horseman, The",Crime|Thriller,2011,99,10.29,Analiese Pawle
501329055-4,"Acacias, Las",Drama,2008,15,8.73,Sada Lamcken
436947875-8,Call Northside 777,Crime|Drama|Film-Noir,1994,89,5.68,Corrinne Bidnall
018187554-3,"Danse: The Paris Opera Ballet, La (La Danse - Le ballet de l'Opéra de Paris)",Documentary,2006,46,10.12,Karyn Fardoe
262308443-2,Friends & Lovers,Comedy|Drama|Romance,2007,90,24.81,Donaugh Penbarthy
577730778-7,Snow Dogs,Adventure|Children|Comedy,1994,26,13.43,Roseann MacFadzan
315476309-0,Stardust Memories,Comedy|Drama,2002,79,27.87,Charmian Smithen
055535282-X,Takva: A Man's Fear of God,Drama,1988,87,9.03,Agustin Sorrel
047443972-0,"Big Time Operators (Smallest Show on Earth, The)",Comedy,2009,68,24.58,Ermentrude Plumbley
610739615-2,Red Ensign,(no genres listed),2005,67,14.63,Lorene Pantry
510875700-X,33 Scenes from Life (33 sceny z zycia),Drama,2001,79,3.85,Melloney Philpott
575787415-5,You Are So Beautiful (Je vous trouve très beau),Comedy|Romance,2012,31,25.26,Dieter Spong
092633173-6,"Crossing Guard, The",Action|Crime|Drama|Thriller,2007,96,26.78,Dawn Brisley
736100921-2,Harmony and Me,Comedy,1983,3,28.27,Vinny Raraty
987306640-3,"Crowd Roars, The",Action|Drama,1997,11,18.03,Catrina Claige
849514109-4,Hard to Kill,Action|Crime|Drama,1995,58,28.59,Woodie Durnan
813307988-8,WarGames,Drama|Sci-Fi|Thriller,2005,6,16.48,Denni Brawson
060268795-0,Africa addio,Documentary,1968,70,26.92,Thomasina Ponsford
222821694-1,Johns,Drama,2008,44,3.62,Durward Huntingdon
380440463-4,Three Times (Zui hao de shi guang),Drama|Romance,1997,41,2.63,Millisent Weare
619819473-6,Fright Night,Comedy|Horror,2012,87,3.48,Desmond Aspall
632782806-X,Citizenfour,Documentary,1993,26,2.88,Burty Gillean
664898816-9,Soft Fruit,Comedy|Drama,1985,29,7.17,Faina Iacovides
400296306-3,"Golden Age, The (Âge d'Or, L')",Comedy|Drama|Romance,2003,18,17.94,Griffin Staples
867114551-4,"Good Humor Man, The",Drama|Romance,2002,22,4.73,Read Mousby
181170793-9,Stranded: I've Come from a Plane That Crashed on the Mountains,Documentary,2012,32,9.6,Arny Naden
221618087-4,Thoroughbreds Don't Cry,Comedy|Drama,2009,57,11.72,Peyter Hadingham
356894593-2,Equinox,Drama|Mystery|Thriller,2008,73,28.09,Ashlan Hannah
975371814-4,Gulliver's Travels,Adventure|Comedy|Fantasy,2002,6,17.87,Ketty Ewles
449466836-2,Newlyweds,Drama,1994,45,28.87,Tallulah Jedrzejewicz
824178744-8,I Was a Male War Bride,Comedy|Romance,1995,65,2.81,Emili Askew
256871285-6,Altiplano,Drama,2003,31,24.56,Tamar Huebner
324518671-1,When Night Is Falling,Drama|Romance,2008,38,20.97,Obie Neissen
386611319-6,"Good Heart, The",Drama,2001,1,24.42,Granville Rogan
760408433-8,Winning Streak,Drama,2001,100,12.14,Carlee Castelyn
281634152-6,"Girl in the Park, The",Drama,1996,23,6.9,Gillan Boldt
247791226-7,Suture,Film-Noir|Thriller,2012,47,28.15,Elinore Dimmer
220231113-0,Exodus: Gods and Kings,Action|Adventure|Drama,1986,97,2.19,Olvan Moyse
546967056-2,Capricious Summer (Rozmarné léto),Comedy,1996,97,27.98,Onofredo Slack
672842266-8,Dark Dungeons,Drama|Fantasy,2007,71,8.15,Sven Tunniclisse
795714188-9,Sky Fighters (Les Chevaliers Du Ciel),Action|Adventure,2008,72,3.22,Christyna Itzkovsky
644474101-7,"Bruno (Dress Code, The)",Comedy|Drama,1985,1,7.79,Amara Seabert
749290537-8,Cherrybomb,Drama|Thriller,2001,28,2.9,Margaux Eva
261158140-1,"Crew, The",Comedy,2000,41,4.95,Jean Martinon
134170212-X,Ninja Cheerleaders,Action|Comedy,2007,5,25.84,Ricky Szymczyk
864583630-0,Pokémon Origins,Adventure|Animation,2002,84,19.05,Edith Christofor
527092176-6,Honky Tonk Freeway,Comedy,2009,83,1.88,Belva Bidwell
029477967-1,K2,Adventure|Drama,2005,77,15.17,Pamella Kittles
656440647-9,Please Vote for Me,Documentary,2012,98,6.56,Jervis McGall
651101434-7,Hello Down There,Comedy|Sci-Fi,1999,84,26.98,Marcos Southers
582291067-X,"Romantics, The",Comedy|Drama|Romance,1997,87,24.73,Bessy Romanin
845348722-7,Repentance (Monanieba),Drama,1993,17,6.9,Nick Sweedland
375144570-6,Crossing the Bridge,Comedy|Drama,2006,68,2.66,Nike Lindsey
211301020-8,Dying of Laughter (Muertos de Risa),Comedy,2009,35,23.83,Lola Orrom
859092622-2,Away from Her,Drama,2008,56,25.3,Mason Happs
580023360-8,Cousin cousine,Comedy|Romance,1999,61,21.14,Nerissa McDuffy
389862544-3,The Adventures of André and Wally B.,Animation,2000,12,7.94,Quent Mirando
926037117-1,Sicko,Documentary|Drama,1993,24,26.48,Ronnie Toal
329655013-5,Zuzu Angel,Drama,2007,93,13.26,Franklin Blaylock
455083970-8,Strange Invaders,Drama|Romance|Sci-Fi,2004,89,25.09,Chancey Kilmurray
176679525-0,"Children of Glory (Szabadság, szerelem)",Drama|Romance|War,1992,70,23.19,Dina Caddell
863502248-3,"Long Ships, The",Adventure,2004,40,19.8,Opaline Ishak
144736974-2,Tremors,Comedy|Horror|Sci-Fi,1988,45,18.39,Arne Island
815063798-2,55 Days at Peking,Drama|War,2012,72,20.35,Ciel Le Lievre
848707679-3,"Colors of the Mountain, The (Los colores de la montaña)",Drama,2002,99,5.16,Frannie Dallyn
902102883-2,Rhino Season (Fasle kargadan) ,Drama|Fantasy|Film-Noir|Mystery|Romance|War,2005,7,26.69,Karia Whyke
709740252-0,Holy Rollers,Crime|Drama,2002,81,16.61,Shannan Lavrick
140144583-7,Crawlspace,Horror|Mystery|Sci-Fi|Thriller,2009,60,25.4,Carilyn Delort
201618283-0,Charlie: The Life and Art of Charles Chaplin,Documentary,2003,15,20.21,Katerina Surgison
079893589-8,"Tree of Wooden Clogs, The (L'albero degli zoccoli)",Drama,2008,73,3.04,Valeda Rothschild
089625080-6,"Unbearable Lightness of Being, The",Drama,1999,77,23.05,Abbot Broseman
537133073-9,Shanghai,Crime|Thriller,2006,51,20.72,Stormi Ebbers
125564440-0,Blackout (Murder by Proxy),Crime|Drama|Thriller,2013,79,24.11,Eloise Thomason
979279791-2,Mao's Last Dancer,Drama,2011,35,3.3,Eddie Rudram
789446577-1,Cinderella,Adventure|Children|Drama|Sci-Fi,1996,17,24.2,Jamie Buscombe
545155989-9,Price Check,Comedy|Drama,2002,70,14.8,Jeromy Timmins
145139149-8,Hollywood Ending,Comedy|Drama,2011,17,6.44,Keeley Giacomazzo
840780467-3,Miss Annie Rooney,Drama,2003,37,5.02,Celene Dummer
456541878-9,Night Crossing,Drama,2006,95,14.8,Silvain Carman
418750568-7,3 Bad Men,Western,2008,96,9.84,Jonathon Caplis
142553513-5,Diên Biên Phú,Drama|War,2006,50,3.76,Cornall Decort
706522206-3,Alone with Her,Crime|Drama|Thriller,2001,71,8.71,Simon Becom
079528758-5,East Side Story,Documentary|Musical,2008,8,21.82,June Ralestone
689156335-6,"Bulli: Cooking in Progress, El",Documentary,1990,23,7.15,Bradney covino
615071122-6,Transmorphers,Action|Adventure|Sci-Fi,2000,22,6.29,Melloney Maine
837751719-1,"Weather Man, The",Comedy|Drama,1998,75,5.72,Gerri Gley
335609109-3,Crazy Thunder Road,Action|Sci-Fi,1988,62,17.67,Hermann Sloat
413891200-2,Proof,Comedy|Drama|Romance,1991,41,27.22,Karlens Espada
493133832-1,And Your Mother Too (Y tu mamá también),Drama|Romance,2003,74,9.48,Salaidh McCreagh
114848517-1,On Earth as It Is in Heaven (Así en el cielo como en la tierra),Comedy,1985,5,26.46,Maurizia Sloey
833312114-4,Child of Rage,Drama|Mystery,1997,65,23.92,Franklyn Izatt
753335815-5,Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyû marugoto chô kessen),Action|Adventure|Animation|Sci-Fi,1998,59,23.98,Donica Orrow
218528188-7,Crystal Fairy & the Magical Cactus and 2012,Adventure|Comedy,2012,83,2.59,Fina Frood
873254227-5,"Marsh, The",Horror|Thriller,2007,77,20.28,Jackqueline Erskin
014192776-3,Fifty/Fifty,Action|Comedy|Thriller,1990,91,24.85,Vail Martindale
916543994-5,Off and Running ,Documentary,1965,50,15.57,Lana Tidy
806398636-9,"Strange Case of Dr. Jekyll and Miss Osbourne, The (Dr. Jekyll and His Women) (Docteur Jekyll et les femmes)",Horror,1990,36,27.29,Terrie Fullilove
629799088-3,Immaculate Conception of Little Dizzle,Comedy,1987,74,18.6,Mahalia Minnock
130333174-8,Let's Make Love,Comedy|Musical|Romance,2006,2,9.78,Pippo Thunderchief
604851268-6,Fear Island,Horror|Mystery|Thriller,1993,80,4.66,Farah Corkish
383416093-8,"Wedding Song, The ",Drama|War,2007,95,22.04,Ruth Krug
772419300-2,Megan Is Missing,Crime|Drama,1999,13,24.03,Wolf Mart
411899289-2,Giorgino,Adventure|Drama|Horror,1984,75,16.38,Shellie Soldan
359896695-4,Early Spring (Soshun),Drama,2000,70,7.55,Sheppard Edie
787701268-3,"So Evil, So Young",Drama,1992,7,9.61,Randolph Menichillo
060508510-2,Brothers of the Head,Drama,2006,31,11.96,Gerianna Mushet
527254553-2,Hounddog,Drama,2005,62,29.71,Hamlin Habben
310514623-7,Time to Die (Tiempo de morir),Drama|Western,2003,3,3.28,Ursulina Bowhey
662928994-3,Outrage (Autoreiji),Crime|Drama,2011,64,26.39,Eduard Hawkin
469235297-3,Stalin,Drama,1999,8,28.68,Kalvin Mowday
160827940-5,"Abominable Snowman, The (Abominable Snowman of the Himalayas, The)",Horror|Sci-Fi,2010,77,4.83,Andreas Lindgren
946595767-4,"Great Magician, The (Daai mo seut si)",Comedy|Drama|Romance,2009,79,18.86,Gigi Boord
449379855-6,Godzilla: Final Wars (Gojira: Fainaru uôzu),Action|Adventure|Fantasy|Sci-Fi,2013,11,5.11,Web Trowell
452468367-4,Forever Strong,Drama,2001,55,5.08,Jaquith Izchaki
702866207-1,Plastic Paradise: The Great Pacific Garbage Patch,Documentary,2009,4,15.7,Ede Shasnan
962800940-0,Come Undone (Cosa voglio di più),Drama,2003,15,15.61,Toinette Wykey
327519898-X,Target,Action|Drama|Thriller,2001,94,5.74,Dionne Barszczewski
983366435-0,Toto le héros,Drama,2010,58,27.38,Elicia Fonzone
059562888-5,Walk Hard: The Dewey Cox Story,Comedy|Musical,1994,18,9.97,Thaddus Husher
147955953-9,Wrestling for Jesus: The Tale of T-Money,Documentary,2005,59,5.5,Aura Lipmann
111016414-9,To Mars by A-Bomb: The Secret History of Project Orion,Documentary,2005,54,18.8,Vida Ivanisov
290123514-X,Female Demon Ohyaku (Yôen dokufuden hannya no ohyaku),Action,1986,20,24.77,Gan Rush
349179430-7,Forced to Kill,Action,2004,12,20.75,Sela Jaquest
826640333-3,"Good Morning, Miss Dove",Drama,2009,42,13.71,Batsheva Sherbrook
279641243-1,"Traveler, The",Horror|Thriller,1995,20,21.99,Melvyn Pridgeon
027258681-1,"My Mother's Castle (Château de ma mère, Le)",Comedy|Drama,2009,97,28.2,Joshia Gontier
555260001-0,"Perils of Gwendoline in the Land of the Yik Yak, The",Adventure|Romance,1988,85,7.14,Nicholas Rowter
201282724-1,God's Comedy (A Comédia de Deus),Comedy|Drama,1986,10,4.68,Valaree Dizlie
055553381-6,Places in the Heart,Drama,2005,65,21.12,Fifine Oganian
142395923-X,"Principal, The",Action|Crime|Drama,1992,71,18.86,Portia Gerant
071403161-5,Goldfinger,Action|Adventure|Thriller,1993,67,10.09,Cara Goodby
593044699-7,Zatoichi's Flashing Sword (Zatôichi abare tako) (Zatôichi 7),Action|Drama,1985,51,1.8,Lorant Stokell
790375809-8,Cry of the City,Crime|Drama,1998,98,24.57,Shaun Matton
873140121-X,Protocols of Zion,Documentary,2011,56,11.22,Fiona Keeler
526116053-7,"Beast at Bay, A",Drama,2008,47,15.47,Yvonne Hayto
752603455-2,"Hoax, The",Crime|Drama,2010,82,3.41,Agatha Tipens
490838388-X,Sarraounia,Drama|War,1999,68,22.29,Haley Ketchaside
927908147-0,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro),Action|Adventure|Animation|Comedy|Crime|Mystery,1981,79,13.48,Yalonda Stapylton
235610449-6,Personal Best,Drama,2011,42,11.67,Toinette Quainton
080745518-0,Schooled: The Price of College Sports ,Documentary,1998,49,12.23,Scot Merington
399210756-6,"Mother's Courage: Talking Back to Autism, A",Documentary,2003,40,27.79,Saunderson Jerrams
886277497-4,De la servitude moderne,Documentary,1991,57,3.34,Maddalena Henmarsh
192329379-6,Angels Fall,Drama|Romance|Thriller,2009,41,14.22,Flss De Ath
908390220-X,Tucker & Dale vs Evil,Comedy|Horror,2012,25,12.6,Emiline Hooks
291902925-8,Police Academy 5: Assignment: Miami Beach,Comedy|Crime,2011,88,27.53,Ewell McElroy
829198007-1,Torso,Horror|Mystery|Thriller,2004,10,20.44,Cristiano Gehringer
482365516-8,"Arise, My Love",Comedy|Drama|Romance,1995,16,10.59,Rozalin Bedow
081050717-X,Lorna's Silence (Le silence de Lorna),Drama,1988,70,24.54,Bradly Auld
464854083-2,Attack Force Z (a.k.a. The Z Men) (Z-tzu te kung tui),War,1998,82,5.04,Anjanette Iskowicz
645228803-2,Swedish Auto,Drama|Romance,1995,88,26.79,Angelika Barbey
562834089-8,Career Girls,Drama,1997,50,2.08,Riccardo Lindenman
307830732-8,Tyler Perry's Temptation: Confessions of a Marriage Counselor,Drama,1995,80,11.01,Theo Jacobssen
415184155-5,"Help, The",Drama,1994,17,16.18,Jaquelin Braiden
524909273-X,Brother (Hermano),Drama,2003,97,25.21,Grange Stoggles
136514538-7,Asterix & Obelix: God Save Britannia (Astérix et Obélix: Au service de Sa Majesté),Adventure|Comedy,1996,92,4.12,Lacie Spowage
673229746-5,Tol'able David,Drama,2002,20,17.21,Haskell Jubb
639030767-5,"Servant, The",Drama,1997,50,15.52,Olenka Crowcher
911322066-7,Camera Obscura,Crime|Drama|Thriller,2008,88,27.45,Austina Vaun
285174104-7,Thunderpants,Children|Comedy|Sci-Fi,1999,45,6.85,Garvy Burgane
325441829-8,"Go, Go Second Time Virgin (Yuke yuke nidome no shojo)",Drama,1997,55,22.06,Gussy Bartomieu
590298541-2,"Way Back, The",Drama,1988,53,29.26,Jule Astall
789418569-8,Old Gringo,Drama,2011,6,24.32,Pinchas MacKintosh
553658469-3,"Ringer, The",Comedy,1986,92,28.73,Lilla Oxtiby
842429648-6,Batman: Year One,Action|Animation|Crime,1996,10,3.76,Rock Quail
507825759-4,American Pie Presents The Naked Mile (American Pie 5: The Naked Mile),Comedy|Romance,2002,39,5.65,Garrek Swatman
049438656-8,Barcelona,Comedy|Romance,1998,74,26.6,Billy Harlowe
255545467-5,Boys Love,Drama|Romance,2004,51,15.31,Chase Hubner
003343405-0,Back Soon,Drama|Romance,2001,64,24.03,Leanna Sheekey
778888607-6,Problem Child,Children|Comedy,2006,47,14.56,Natalya Emney
621246535-5,Dance of Outlaws (Häätanssi),Documentary,2005,52,2.35,Lorrayne Donnett
260266741-2,Film ist.,Documentary,1992,7,2.9,Andrei Crease
385250008-7,Onechanbara - Zombie Bikini Squad (a.k.a. Oneechanbara: The Movie),Action|Horror,1989,18,15.66,Franny Stile
017872589-7,"Dirty Shame, A",Comedy,2013,85,19.86,Bran Gorst
452132698-6,Lust for Gold (Duhul aurului),Drama,2009,97,27.99,Ferguson Tassell
524702666-7,God's Not Dead,Drama,2005,100,4.9,Caron Renol
255685519-3,"Boat, The",Comedy,2010,57,28.96,Berky Kulver
892607505-2,"Tempest, The",Comedy|Drama|Fantasy,2006,97,12.02,Lenette Wiffield
422823598-0,Angels Sing,Comedy|Drama,2004,1,26.04,Karmen Eltringham
